id;año;rol_establecimiento;id_rol_establecimiento;id_vu;nombre_establecimiento;razon_social;rut;ciiu4;id_ciiu4;ciiu6;id_ciiu6;latitud;longitud;id_comuna;comuna;provincia;id_region;region;rubro_vu;entrada_salida;cantidad_toneladas;id_tratamiento_nivel_3;tratamiento_nivel_3;id_tratamiento_nivel_2;tratamiento_nivel_2;id_tratamiento_nivel_1;tratamiento_nivel_1;capitulo_ler;subcapitulo_ler;nombre_ler
1;2023;Destinatario Final;4;5470712;AGRICOLA Y LECHERA LONQUEN SPA;AGRICOLA Y LECHERA LONQUEN SPA;76479228-9;Cría de ganado bovino y búfalos;A0141;Cría de ganado bovino para la producción lechera;A014101;-33,72309301;-70,86950716;13603;Isla de Maipo;Talagante;13;Metropolitana de Santiago;Producción agropecuaria;1;10162,828;7;Preparación para reutilización;;-;2;Valorización;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";07 | Residuos de la producción de bebidas alcohólicas y no alcohólicas (excepto café, té y cacao);02 07 02 | Residuos de la destilación de alcoholes
2;2023;Destinatario Final;4;5459477;AMFFAL;AMFFAL SPA;78747370-9;Evacuación de aguas residuales;E3700;Evacuación y tratamiento de aguas servidas;E370000;-27,40900725;-70,28626224;3101;Copiapó;Copiapó;3;Atacama;Plantas de tratamiento de aguas servidas;1;6,15;3;Disposición final;;-;1;Eliminación;17 | Residuos de la construcción y demolición;09 | Otros residuos de construcción y demolición;17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03
3;2023;Destinatario Final;4;5459477;AMFFAL;AMFFAL SPA;78747370-9;Evacuación de aguas residuales;E3700;Evacuación y tratamiento de aguas servidas;E370000;-27,40900725;-70,28626224;3101;Copiapó;Copiapó;3;Atacama;Plantas de tratamiento de aguas servidas;1;7;29;Degradación Anaeróbica;8;Reciclaje;2;Valorización;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";02 | Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal;02 02 04 | Lodos del tratamiento in situ de efluentes
4;2023;Destinatario Final;4;5459477;AMFFAL;AMFFAL SPA;78747370-9;Evacuación de aguas residuales;E3700;Evacuación y tratamiento de aguas servidas;E370000;-27,40900725;-70,28626224;3101;Copiapó;Copiapó;3;Atacama;Plantas de tratamiento de aguas servidas;1;8,6;32;Recepción de Lodos en PTAS;3;Disposición final;1;Eliminación;19 | Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial;06 | Residuos del tratamiento anaeróbico de residuos;19 06 04 | Lodos de digestión del tratamiento anaeróbico de residuos municipales
5;2023;Destinatario Final;4;5459477;AMFFAL;AMFFAL SPA;78747370-9;Evacuación de aguas residuales;E3700;Evacuación y tratamiento de aguas servidas;E370000;-27,40900725;-70,28626224;3101;Copiapó;Copiapó;3;Atacama;Plantas de tratamiento de aguas servidas;1;8,78;;-;;-;1;Eliminación;17 | Residuos de la construcción y demolición;09 | Otros residuos de construcción y demolición;17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03
6;2023;Destinatario Final;4;5459477;AMFFAL;AMFFAL SPA;78747370-9;Evacuación de aguas residuales;E3700;Evacuación y tratamiento de aguas servidas;E370000;-27,40900725;-70,28626224;3101;Copiapó;Copiapó;3;Atacama;Plantas de tratamiento de aguas servidas;1;10;40;Pretratamiento de aceites y grasas comestibles;35;Pretratamiento (I.R.A.R.);5;Recolección;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 25 | Aceites y grasas comestibles
7;2023;Destinatario Final;4;5459477;AMFFAL;AMFFAL SPA;78747370-9;Evacuación de aguas residuales;E3700;Evacuación y tratamiento de aguas servidas;E370000;-27,40900725;-70,28626224;3101;Copiapó;Copiapó;3;Atacama;Plantas de tratamiento de aguas servidas;1;14;62;Recepción de Lodos de PTAS;;-;2;Valorización;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";02 | Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal;02 02 04 | Lodos del tratamiento in situ de efluentes
8;2023;Destinatario Final;4;5459477;AMFFAL;AMFFAL SPA;78747370-9;Evacuación de aguas residuales;E3700;Evacuación y tratamiento de aguas servidas;E370000;-27,40900725;-70,28626224;3101;Copiapó;Copiapó;3;Atacama;Plantas de tratamiento de aguas servidas;1;20;32;Recepción de Lodos en PTAS;3;Disposición final;1;Eliminación;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;03 | Otros residuos municipales;20 03 06 | Residuos de la limpieza de alcantarillas
9;2023;Destinatario Final;4;5459477;AMFFAL;AMFFAL SPA;78747370-9;Evacuación de aguas residuales;E3700;Evacuación y tratamiento de aguas servidas;E370000;-27,40900725;-70,28626224;3101;Copiapó;Copiapó;3;Atacama;Plantas de tratamiento de aguas servidas;1;710,895;32;Recepción de Lodos en PTAS;3;Disposición final;1;Eliminación;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;03 | Otros residuos municipales;20 03 04 | Lodos de fosas sépticas
10;2023;Destinatario Final;4;5459477;AMFFAL;AMFFAL SPA;78747370-9;Evacuación de aguas residuales;E3700;Evacuación y tratamiento de aguas servidas;E370000;-27,40900725;-70,28626224;3101;Copiapó;Copiapó;3;Atacama;Plantas de tratamiento de aguas servidas;1;822,098;32;Recepción de Lodos en PTAS;3;Disposición final;1;Eliminación;19 | Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial;08 | Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría;19 08 09 | Mezclas de grasas y aceites procedentes de la separación de agua/sustancias aceitosas que contienen sólo aceites y grasa
