año;rol_establecimiento;id_vu;nombre_establecimiento;razon_social;rut;ciiu4;id_ciiu4;ciiu6;id_ciiu6;latitud;longitud;id_comuna;comuna;provincia;id_region;region;rubro_vu;entrada_salida;cantidad_toneladas;tipo_declaracion;id_tipo_declaracion;tratamiento_nivel_3;id_tratamiento_nivel_3;tratamiento_nivel_1;id_tratamiento_nivel_1;capitulo_ler;subcapitulo_ler;nombre_ler;id_vu_trazabilidad;nombre_establecimiento_trazabilidad;razon_social_trazabilidad;rut_razon_social_trazabilidad;comuna_trazabilidad;region_trazabilidad
2023;Generador Municipal;5469702;EDIFICIO CONSISTORIAL MUNICIPALIDAD CURACAUTIN;I MUNICIPALIDAD DE CURACAUTIN;69181000-3;Actividades de la administración pública en general;O8411;Actividades de la administración pública en general;O841100;-38,43793921;-71,88826504;9203;Curacautín;Malleco;9;Araucanía;Otras actividades;2;4,54;declaración;1;Pretratamiento de papel, cartón y productos de papel;36;Recolección;5;"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal);15 01 01 | Envases de papel y cartón;5470713;COMERCIAL MORCAS LIMITADA;COMERCIAL MORCAS LIMITADA;76264081-3;Lautaro;La Araucanía
2023;Generador Municipal;5469702;EDIFICIO CONSISTORIAL MUNICIPALIDAD CURACAUTIN;I MUNICIPALIDAD DE CURACAUTIN;69181000-3;Actividades de la administración pública en general;O8411;Actividades de la administración pública en general;O841100;-38,43793921;-71,88826504;9203;Curacautín;Malleco;9;Araucanía;Otras actividades;2;8,604;declaración;1;Reciclaje de papel, cartón y productos de papel;16;Valorización;2;"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal);15 01 01 | Envases de papel y cartón;;SOC RECUPERADORA DE PAPEL SPA;SOC RECUPERADORA DE PAPEL SPA;86359300-K;Temuco;La Araucanía
2023;Generador Municipal;5469702;EDIFICIO CONSISTORIAL MUNICIPALIDAD CURACAUTIN;I MUNICIPALIDAD DE CURACAUTIN;69181000-3;Actividades de la administración pública en general;O8411;Actividades de la administración pública en general;O841100;-38,43793921;-71,88826504;9203;Curacautín;Malleco;9;Araucanía;Otras actividades;2;9,9814;declaración;1;Pretratamiento de plásticos;45;Recolección;5;"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal);15 01 02 | Envases de plástico;5470713;COMERCIAL MORCAS LIMITADA;COMERCIAL MORCAS LIMITADA;76264081-3;Lautaro;La Araucanía
2023;Generador Municipal;5469702;EDIFICIO CONSISTORIAL MUNICIPALIDAD CURACAUTIN;I MUNICIPALIDAD DE CURACAUTIN;69181000-3;Actividades de la administración pública en general;O8411;Actividades de la administración pública en general;O841100;-38,43793921;-71,88826504;9203;Curacautín;Malleco;9;Araucanía;Otras actividades;2;75,204;declaración;1;Pretratamiento de Vidrio;37;Recolección;5;"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal);15 01 07 | Envases de vidrio;5485799;COMERCIAL MORCAS LIMITADA (CENTRO ACOPIO DE VIDRIO);COMERCIAL MORCAS LIMITADA;76264081-3;Lautaro;La Araucanía
2023;Generador Municipal;5469702;EDIFICIO CONSISTORIAL MUNICIPALIDAD CURACAUTIN;I MUNICIPALIDAD DE CURACAUTIN;69181000-3;Actividades de la administración pública en general;O8411;Actividades de la administración pública en general;O841100;-38,43793921;-71,88826504;9203;Curacautín;Malleco;9;Araucanía;Otras actividades;2;112,9;declaración;1;Reciclaje de vidrio;19;Valorización;2;"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal);15 01 07 | Envases de vidrio;1967;CRISTALERIAS TORO SPA;CRISTALERIAS TORO SPA;93372000-4;Cerrillos;Metropolitana de Santiago
2023;Generador Municipal;5469702;EDIFICIO CONSISTORIAL MUNICIPALIDAD CURACAUTIN;I MUNICIPALIDAD DE CURACAUTIN;69181000-3;Actividades de la administración pública en general;O8411;Actividades de la administración pública en general;O841100;-38,43793921;-71,88826504;9203;Curacautín;Malleco;9;Araucanía;Otras actividades;2;225;declaración;1;Vertedero;12;Eliminación;1;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;03 | Otros residuos municipales;20 03 01 | Mezclas de residuos municipales;5461913;VERTEDERO LICURA (MULCHEN;EMPRESA DE SERVICIOS MECANIZADOS ASEOS Y ROCES LTDA;88975900-3;Mulchén;Biobío
2023;Generador Municipal;5469702;EDIFICIO CONSISTORIAL MUNICIPALIDAD CURACAUTIN;I MUNICIPALIDAD DE CURACAUTIN;69181000-3;Actividades de la administración pública en general;O8411;Actividades de la administración pública en general;O841100;-38,43793921;-71,88826504;9203;Curacautín;Malleco;9;Araucanía;Otras actividades;2;234;declaración;1;Pretratamiento;48;Eliminación;1;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;03 | Otros residuos municipales;20 03 01 | Mezclas de residuos municipales;5482128;Planta de Tratamiento de Residuos Domiciliarios Lautaro;GESTION ECOLOGICA DE RESIDUOS S A;96722440-5;Lautaro;La Araucanía
2023;Generador Municipal;5469702;EDIFICIO CONSISTORIAL MUNICIPALIDAD CURACAUTIN;I MUNICIPALIDAD DE CURACAUTIN;69181000-3;Actividades de la administración pública en general;O8411;Actividades de la administración pública en general;O841100;-38,43793921;-71,88826504;9203;Curacautín;Malleco;9;Araucanía;Otras actividades;2;363;declaración;1;Disposición final;3;Eliminación;1;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;03 | Otros residuos municipales;20 03 01 | Mezclas de residuos municipales;5461913;VERTEDERO LICURA (MULCHEN;EMPRESA DE SERVICIOS MECANIZADOS ASEOS Y ROCES LTDA;88975900-3;Mulchén;Biobío
2023;Generador Municipal;5469702;EDIFICIO CONSISTORIAL MUNICIPALIDAD CURACAUTIN;I MUNICIPALIDAD DE CURACAUTIN;69181000-3;Actividades de la administración pública en general;O8411;Actividades de la administración pública en general;O841100;-38,43793921;-71,88826504;9203;Curacautín;Malleco;9;Araucanía;Otras actividades;2;1268;declaración;1;Relleno sanitario;11;Eliminación;1;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;03 | Otros residuos municipales;20 03 01 | Mezclas de residuos municipales;;CONSORCIO COSEMAR Y WILLIAM IVES S.A;CONSORCIO COSEMAR Y WILLIAM IVES S.A;76183291-3;Angol;La Araucanía
2023;Generador Municipal;5469702;EDIFICIO CONSISTORIAL MUNICIPALIDAD CURACAUTIN;I MUNICIPALIDAD DE CURACAUTIN;69181000-3;Actividades de la administración pública en general;O8411;Actividades de la administración pública en general;O841100;-38,43793921;-71,88826504;9203;Curacautín;Malleco;9;Araucanía;Otras actividades;2;1619,84;declaración;1;Residuos municipales asimilables a domiciliarios;56;Eliminación;1;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;03 | Otros residuos municipales;20 03 01 | Mezclas de residuos municipales;5482128;Planta de Tratamiento de Residuos Domiciliarios Lautaro;GESTION ECOLOGICA DE RESIDUOS S A;96722440-5;Lautaro;La Araucanía
